"Vehicle Vin","Vehicle Make","Vehicle Model","Vehicle Trim Level","Vehicle Transmission Type","Vehicle Drive Type","Vehicle Type","Vehicle Year","Stock Number","Interior Color","Exterior Color","Engine","Cylinders","Cost","Wholesale","Retail","Mileage","Purchase Date","Comments","Inventory Type","Certified Pre Owned","Image URL","Option List","Total Cost","Down Payment","YouTube URL","Location Code","Market Value","Retail2","Other Price/Cost","Weekly Payment","Monthly Payment","Payment Details","Fuel Type","Interior Material","MSRP"

"1G1PG5SB0E7384097","CHEVROLET","CRUZE","LTZ","Automatic","FWD","Sedan","2014","4239","GRAY","SILVER","1.4L","4","ZERO","ZERO","    3500.00","145485","12/12/2024","","Used","No","https://cdn.frazerphotos.com/22489/22489_000004239_z4b3hca.jpg|https://cdn.frazerphotos.com/22489/22489_000004239_2rhpm4r.jpg|https://cdn.frazerphotos.com/22489/22489_000004239_45puk4s.jpg|https://cdn.frazerphotos.com/22489/22489_000004239_7p3k4un.jpg|https://cdn.frazerphotos.com/22489/22489_000004239_38okda5.jpg|https://cdn.frazerphotos.com/22489/22489_000004239_jqivsxu.jpg|https://cdn.frazerphotos.com/22489/22489_000004239_5qzgw4b.jpg|https://cdn.frazerphotos.com/22489/22489_000004239_g8nnvlb.jpg|https://cdn.frazerphotos.com/22489/22489_000004239_ay7p789.jpg|https://cdn.frazerphotos.com/22489/22489_000004239_c9m1k6w.jpg|https://cdn.frazerphotos.com/22489/22489_000004239_krwyxey.jpg|https://cdn.frazerphotos.com/22489/22489_000004239_wjlxe2r.jpg|https://cdn.frazerphotos.com/22489/22489_000004239_8a1tzi1.jpg|https://cdn.frazerphotos.com/22489/22489_4239_3989.jpg|https://cdn.frazerphotos.com/22489/22489_4239_3990.jpg|","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; Immobilizer; Keyless Entry; Alarm; Daytime Running Lights; Dual Airbags Front Head and Side; Active Seatbelts; Passenger Airbag Sensor; Dual Rear Side Airbag; All Wheel ABS","ZERO","       0.00","https://youtu.be/dJNK6dULX0g","0","       0.00","    3500.00","     0","       0.00","       0.00","","Gasoline","","        "

"2C3CDXCT9JH125046","DODGE","CHARGER","R/T","Automatic","RWD","Sedan","2018","4249","BLACK","BLACK","5.7L","8","ZERO","ZERO","    7500.00","195183"," 1/14/2025","Video Test Drive (The Nitty Gritty): https://youtu.be/wJuaFkvSVlU    Just The Basics:  5.7L Hemi  Runs and Drives Great!  Cold AC, Heated Seats.  Smooth Suspension. Good Brakes.   Not a showroom perfect car--but it will get you where you need to go.","Used","No","https://cdn.frazerphotos.com/22489/22489_000004249_fgyedbo.jpg|https://cdn.frazerphotos.com/22489/22489_000004249_85dz2rx.jpg|https://cdn.frazerphotos.com/22489/22489_000004249_ps5xpoe.jpg|https://cdn.frazerphotos.com/22489/22489_000004249_4jhw6xc.jpg|https://cdn.frazerphotos.com/22489/22489_000004249_106t5xe.jpg|https://cdn.frazerphotos.com/22489/22489_000004249_wothf61.jpg|https://cdn.frazerphotos.com/22489/22489_000004249_h0hqvg4.jpg|https://cdn.frazerphotos.com/22489/22489_000004249_d8fx413.jpg|https://cdn.frazerphotos.com/22489/22489_000004249_4r48pv6.jpg|https://cdn.frazerphotos.com/22489/22489_000004249_bj5bmte.jpg|https://cdn.frazerphotos.com/22489/22489_000004249_vnz7pq8.jpg|https://cdn.frazerphotos.com/22489/22489_4249_3922.jpg|https://cdn.frazerphotos.com/22489/22489_4249_3923.jpg|","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; Sentry Key; Keyless Entry; Alarm; Daytime Running Lights; Dual Front Airbags; Side Airbags; Head Airbags; Rear Head Airbags; Active Seatbelts; All Wheel ABS","ZERO","       0.00","https://youtu.be/wJuaFkvSVlU","0","   12217.00","    7500.00","     0","       0.00","       0.00","","Gasoline","","        "

"4T1FA38P68U156554","TOYOTA","CAMRY SOLARA","SE","Automatic","FWD","Convertible","2008","4273","TAN","RED","3.3L","6","ZERO","ZERO","    2000.00","192093"," 4/23/2025","Video Test Drive (The Nitty Gritty): https://youtu.be/-rM9WfMEngs    Just the Basics:  Runs and drives good  Convertible top opens and closes the way it should and doesn't leak  Drives smooth-no suspension noise, good brakes  Tires: 40%-50%  Exhaust is a little louder.","Used","No","https://cdn.frazerphotos.com/22489/22489_000004273_lfhp2s7.jpg|https://cdn.frazerphotos.com/22489/22489_000004273_yui65x2.jpg|https://cdn.frazerphotos.com/22489/22489_000004273_x81vz40.jpg|https://cdn.frazerphotos.com/22489/22489_000004273_hwh1ltg.jpg|https://cdn.frazerphotos.com/22489/22489_000004273_r12mefm.jpg|https://cdn.frazerphotos.com/22489/22489_000004273_1vw0th2.jpg|https://cdn.frazerphotos.com/22489/22489_000004273_8acdgca.jpg|https://cdn.frazerphotos.com/22489/22489_000004273_azccefg.jpg|https://cdn.frazerphotos.com/22489/22489_000004273_b2ms7c1.jpg|https://cdn.frazerphotos.com/22489/22489_000004273_dymj3e3.jpg|https://cdn.frazerphotos.com/22489/22489_000004273_dyqox7w.jpg|https://cdn.frazerphotos.com/22489/22489_000004273_8lkihky.jpg|https://cdn.frazerphotos.com/22489/22489_000004273_sxbl68h.jpg|https://cdn.frazerphotos.com/22489/22489_4273_3993.jpg|https://cdn.frazerphotos.com/22489/22489_4273_3994.jpg|","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; Immobilizer; Keyless Entry; Daytime Running Lights; Dual Front Airbags; Side Airbags; Head Airbags; Rear Head Airbags; Active Seatbelts; All Wheel ABS","ZERO","       0.00","https://youtu.be/-rM9WfMEngs","0","    6039.00","    2000.00","     0","       0.00","       0.00","","Gasoline","","        "

"LCELDUZ41K6004573","CF MOTO","600","","Automatic","","Mid-Size","2019","3759","BLACK","ORANGE","","0","ZERO","ZERO","    3900.00","950"," 5/31/2022","*Great running 4 Wheeler.     *We have used it for a couple years.     *Has low miles and has been maintained as we have used it.     *Have used for snow plowing in the winter and weed spraying in the spring/summer and general leisure.      *  Will get a video test drive as soon as possible.    *    MUST MAKE AN APPOINTMENT to see because it may be at my house on any given day.","Used","No","https://cdn.frazerphotos.com/22489/22489_3759_3486.jpg|https://cdn.frazerphotos.com/22489/22489_3759_3480.jpg|https://cdn.frazerphotos.com/22489/22489_3759_3479.jpg|https://cdn.frazerphotos.com/22489/22489_3759_3481.jpg|","","ZERO","       0.00","","0","       0.00","    3900.00","     0","       0.00","       0.00","","Gasoline","","        "

"3JB1GAN45LK001064","CAN AM","MAVERICK","SIDE BY SIDE","Automatic","","Mid-Size","2020","4291","BLACK","BLACK","","0","ZERO","ZERO","    8000.00","1275"," 5/30/2025","*Great running side by side.         *Brand new front end. Replaced Suspension Parts.     *Fresh Oil Change.         *Will get a video test drive as soon as possible.         *MUST MAKE AN APPOINTMENT to see as it may be at our house on any given day. This is currently my favorite ''toy''...serious buyers only. Firm on price. No trades.","Used","No","https://cdn.frazerphotos.com/22489/22489_4291_3826.jpg|https://cdn.frazerphotos.com/22489/22489_4291_3827.jpg|https://cdn.frazerphotos.com/22489/22489_4291_3828.jpg|https://cdn.frazerphotos.com/22489/22489_4291_3829.jpg|https://cdn.frazerphotos.com/22489/22489_4291_3830.jpg|","","ZERO","       0.00","","0","       0.00","    8000.00","     0","       0.00","       0.00","","Gasoline","","        "

